cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,3,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,4,"""кристалл""",ЛБ,72,8,330,на замену
,1,4,"""кристалл""",ЛБ,72,8,330,на замену
,2,4,"""кристалл""",ЛБ,72,8,330,
,2,4,"""кристалл""",ЛБ,72,8,330,
,,,,,,,,
,8,1,,накаливания,60,3,248,"замена на светодиодные 2023 год, закуплено"
,4,4,,газоразрядные,40,13,248,"замена на светодиодные 2023 год, закуплено"
,1,1,,накаливания,60,3,248,"замена на светодиодные 2023 год, закуплено"
,6,2,айсберг 18*2,газоразрядные,40,6,248,"замена на светодиодные 2023 год, закуплено"
,6,2,айсберг 18*2,газоразрядные,40,6,248,"замена на светодиодные 2023 год, закуплено"
,2,1,,накаливания,60,3,248,"замена на светодиодные 2023 год, закуплено"
,2,1,,накаливания,60,3,248,"замена на светодиодные 2023 год, закуплено"
,10,2,айсберг 18*2,газоразрядные,40,10,248,"замена на светодиодные 2023 год, закуплено"
